model_family,feature_set,scope,n,mae,rmse,r2,directional_accuracy,prev_rmse,prev_r2,rmse_redux_vs_prev_pct,r2_gain_vs_prev
elasticnet,M0_baseline,ALL,4526,0.19654086759216746,0.3635633010067103,-0.002339769991898555,0.6862571807335396,,,,
elasticnet,M1_macro,ALL,4526,0.2060354787071861,0.36606528514894043,-0.01618312256466381,0.6564295183384887,0.3635633010067103,-0.002339769991898555,-0.6881839105603098,-0.013843352572765255
elasticnet,M2_sector,ALL,4526,0.22189772875997202,1.2390599924590435,-10.642320618286073,0.6685815289438798,0.36606528514894043,-0.01618312256466381,-238.48060516170196,-10.626137495721409
elasticnet,M3_company,ALL,4526,0.1971989342705777,0.3631534532576915,-8.115288425125655e-05,0.678082191780822,1.2390599924590435,-10.642320618286073,70.69121305926636,10.642239465401822
elasticnet,M4_idio_vol,ALL,4526,0.19457930644422064,0.36119255701333264,0.010689835892955135,0.6813963764913831,0.3631534532576915,-8.115288425125655e-05,0.5399635406929247,0.010770988777206392
elasticnet,M5_text,ALL,4526,0.1947285295695442,0.3614208034835377,0.00943910192920161,0.6864781263809103,0.36119255701333264,0.010689835892955135,-0.06319246224020596,-0.0012507339637535253
elasticnet,M0_baseline,Communication Services,460,0.19605066018884765,0.3916899671133488,-0.0060498268363169405,0.75,,,,
elasticnet,M1_macro,Communication Services,460,0.20832023848777237,0.39546417768318126,-0.02553124232149373,0.7478260869565218,0.3916899671133488,-0.0060498268363169405,-0.9635709072783738,-0.01948141548517679
elasticnet,M2_sector,Communication Services,460,0.20841774293670473,0.39674165808435025,-0.03216755559187723,0.75,0.39546417768318126,-0.02553124232149373,-0.3230331527505417,-0.006636313270383498
elasticnet,M3_company,Communication Services,460,0.21478349772346167,0.4044400274768917,-0.07261251042848382,0.7043478260869566,0.39674165808435025,-0.03216755559187723,-1.9403985529809666,-0.040444954836606595
elasticnet,M4_idio_vol,Communication Services,460,0.2102436742678753,0.4009408976396684,-0.05413276464429129,0.7130434782608696,0.4044400274768917,-0.07261251042848382,0.8651789139301275,0.018479745784192536
elasticnet,M5_text,Communication Services,460,0.20960873158906887,0.40036368416036655,-0.0510997906540227,0.7195652173913043,0.4009408976396684,-0.05413276464429129,0.14396472963967666,0.0030329739902685837
elasticnet,M0_baseline,Consumer Discretionary,486,0.21401897631533393,0.4165130448682281,-0.012293265981159207,0.7530864197530864,,,,
elasticnet,M1_macro,Consumer Discretionary,486,0.22787393227754008,0.4192460279778214,-0.0256213333708315,0.7242798353909465,0.4165130448682281,-0.012293265981159207,-0.6561578666660807,-0.013328067389672293
elasticnet,M2_sector,Consumer Discretionary,486,0.2280076792438215,0.4179059354458422,-0.019075149201694508,0.7325102880658436,0.4192460279778214,-0.0256213333708315,0.3196434653043607,0.006546184169136993
