year,n,rmse_no_macro,rmse_with_macro,rmse_delta,dir_acc_delta
2014,338,0.1488210303183853,0.14910042796640263,-0.00027939764801732103,0.011834319526627219
2015,331,0.1848736252941515,0.1867844323243475,-0.001910807030195999,0.015105740181268883
2016,325,0.13696533135938213,0.1372386825446536,-0.00027335118527146984,0.003076923076923077
2017,337,0.1337377671357995,0.13304366398462344,0.0006941031511760454,-0.005934718100890208
2018,373,0.23234861204230117,0.23438227808864673,-0.002033666046345556,-0.005361930294906166
2019,393,0.1718048189805839,0.17195821030376846,-0.00015339132318456516,0.005089058524173028
2020,390,0.19524190283090745,0.1978445953237456,-0.002602692492838149,-0.007692307692307693
2021,388,0.28497590685138735,0.27644798868257237,0.008527918168814985,0.002577319587628866
2022,388,0.2358091561166387,0.22797269719871968,0.00783645891791901,-0.010309278350515464
2023,386,0.21526188518571596,0.21459095590772748,0.0006709292779884801,-0.018134715025906734
2024,389,0.1801078116222111,0.18277277725262575,-0.0026649656304146563,-0.012853470437017995
2025,395,0.1110996010501608,0.11049042983815784,0.0006091712120029624,0.0
2026,96,0.08173517931767028,0.08796765692097167,-0.006232477603301381,0.0
