comparison,n,rmse_base,rmse_alt,rmse_delta,dir_acc_delta,dm_stat,p_value,n_quarters,quarters_better,n_cols
activity_demand,4039,0.23656209788352,0.23413068660057876,0.002431411282941248,0.016588264421886604,2.0695213798702983,0.04414078893289572,47,29,8
commodities_fx,4039,0.23656209788352,0.236789864581408,-0.00022776669788798776,0.007427581084426839,-0.11436561777673544,0.9094457018628568,47,25,6
risk_credit,4039,0.23656209788352,0.2368045689103541,-0.0002424710268340846,0.0002475860361475613,-0.17845883905436585,0.8591462906230569,47,22,2
rates_curve,4039,0.23656209788352,0.23787286815650865,-0.0013107702729886483,0.0019806882891804903,-1.1560873764811443,0.25361464521593563,47,23,5
inflation,4039,0.23656209788352,0.23845323532307722,-0.0018911374395572111,0.002723446397623174,-2.185818960043792,0.03395646725933211,47,21,4
