,n,median_ae,mean_ae,rmse,mpe_pct,mdpe_pct,r2,chg_dir_acc
catboost,1446.0,0.03467634498120856,0.05826853818252924,0.10428649396253581,-1.6031402375428387,2.8170006135707975,0.7819834373796315,0.5912863070539419
ensemble,1446.0,0.031494828519833706,0.05704132913784763,0.10595833123629496,-3.835466185861166,2.544422460765546,0.7749372745866685,0.5850622406639004
lightgbm,1446.0,0.03417231574311068,0.06047795773550991,0.10949326370494093,-3.4726429801065932,1.7132491865592687,0.7596699060593154,0.5809128630705395
xgboost,1446.0,0.03256462780300412,0.05942718117891283,0.10952253334753108,-3.8072582873656136,2.2067308671130546,0.7595413992283592,0.5912863070539419
hist_gbm,1446.0,0.03459193825040679,0.06006737135388227,0.1100670881431362,-6.458823238429618,2.3189039268828635,0.7571442959213203,0.5816044260027663
elasticnet,1446.0,0.045808426504533484,0.06869577693555878,0.11140370694638599,-10.872111849019442,0.9290418983128799,0.7512101614275855,0.5878284923928078
random_forest,1446.0,0.04299372081709782,0.06685538287230366,0.11382856878924665,-12.555319826245023,1.6986871557952592,0.7402617532972873,0.5954356846473029
bl: persistence,1446.0,0.024441467927275445,0.05768414244395284,0.11681586799731536,2.3645427500400653,0.6951056690995793,0.726449801263834,0.0
extra_trees,1446.0,0.05914840900080036,0.0823701375780123,0.12445568227347008,-18.21730342226247,1.4703117090510383,0.6894991353352075,0.5912863070539419
bl: company_hist,1446.0,0.03650810466459648,0.07080165393618996,0.12640597717111185,-8.403646400303511,6.5308501907215115,0.6796914182575367,0.5283540802213001
ridge,1446.0,0.06115332807873476,0.08351165914738058,0.1265974925689355,-10.316394617121048,-2.7247251989920267,0.6787200955805328,0.5809128630705395
bl: sector_median,1446.0,0.0739018797774256,0.11190601966964292,0.16476591016903508,-22.581114028277575,3.064384720472191,0.45578804560855657,0.4854771784232365
bl: expanding_mean,1446.0,0.1522776509656527,0.17468482470076066,0.22356353762014114,-59.04658578599057,1.3286315559729465,-0.0019252008558703348,0.5359612724757953
