block,n,rmse_base,rmse_alt,rmse_delta,dir_acc_delta,dm_stat,p_value,n_quarters,quarters_better,n_cols
accounting,4525,0.19006216688363628,0.18981174585245794,0.00025042103117833836,0.00022099447513812155,0.350115115423742,0.7277840086251528,49,23,5
ALL_BLOCKS,4525,0.19006216688363628,0.1899569087599633,0.00010525812367298548,-0.005303867403314917,0.15397945297357404,0.8782715160013512,49,28,16
short_interest,4525,0.19006216688363628,0.19061168773225723,-0.0005495208486209491,-0.0026519337016574587,-0.8993536136790207,0.3729541068473178,49,13,4
industry_demand,4525,0.19006216688363628,0.1910891081987389,-0.001026941315102614,-0.0017679558011049724,-1.3812518683697441,0.1735981511329145,49,21,2
filing_event,4525,0.19006216688363628,0.1912326531363526,-0.0011704862527163185,-0.0022099447513812156,-1.5991511090139325,0.116349564937934,49,18,5
