tier,model,n_matched,rmse_standalone,rmse_pooled300,rmse_delta,pct_change
S&P500,ensemble,4525,0.18820287668701519,0.1890178417352423,0.0008149650482271176,0.4330247563550366
S&P500,ensemble,4525,0.18820287668701519,0.1890178417352423,0.0008149650482271176,0.4330247563550366
S&P500,lightgbm,4525,0.1899569571999267,0.18877284705843264,-0.0011841101414940547,-0.6233570799135287
SC600,ensemble,4115,0.2908218899275129,0.2779045606245906,-0.012917329302922276,-4.441663351456078
SC600,ensemble,4115,0.2908218899275129,0.2779045606245906,-0.012917329302922276,-4.441663351456078
SC600,lightgbm,4115,0.2938888924207188,0.2776728825295469,-0.01621600989117189,-5.517734868304496
R2000,ensemble,3306,0.3256862599336666,0.32169553713702576,-0.0039907227966408665,-1.2253273433928922
R2000,ensemble,3306,0.3256862599336666,0.32169553713702576,-0.0039907227966408665,-1.2253273433928922
R2000,lightgbm,3306,0.3289187944440739,0.32434119270747924,-0.004577601736594661,-1.3917118188188515
