target_quarter,d_se,d_ae,d_hit
2014Q1,0.000784229611770243,0.0019688789406493426,0.011764705882352941
2014Q2,3.191966835778902e-05,-0.0005847987261731848,-0.011627906976744186
2014Q3,0.00019567853226359623,0.0010154994497716162,0.03529411764705882
2014Q4,-0.0013923404295526165,0.000189084267602165,0.012195121951219513
2015Q1,-0.001654182057974964,-1.590471691062218e-05,0.024390243902439025
2015Q2,-0.0007122328364906271,0.001072038854237262,0.011904761904761904
2015Q3,-0.0005951214088989413,-0.0010453880250093164,0.023809523809523808
2015Q4,0.00012833907234106252,-0.001955868819250762,0.0
2016Q1,-0.0008045861350699563,-0.003240796436822831,0.0
2016Q2,-0.0003132254313035972,-0.0002615744539686953,0.012048192771084338
2016Q3,0.000672032724305097,-0.0007313386237291486,-0.012345679012345678
2016Q4,0.0001312843577168763,-0.0006997919782139362,0.012195121951219513
2017Q1,0.0003129587419771461,0.002086147552682885,-0.024691358024691357
2017Q2,0.0008785341813966932,0.00041002242251286217,-0.023255813953488372
2017Q3,0.0001024867795630781,-0.0010677392676915643,0.03529411764705882
2017Q4,-0.0005554281479265061,-0.0018395328726199132,-0.011764705882352941
2018Q1,-0.003651071885375478,-0.006588646763380402,0.034482758620689655
2018Q2,-0.0018320244319246326,-0.0028452564187986533,-0.02127659574468085
2018Q3,0.0022108923102182976,0.0008349616680686355,-0.010416666666666666
2018Q4,-0.0007961906056174659,0.00011235338439925806,-0.020833333333333332
2019Q1,0.0012225393343302739,0.0007838600411423549,0.0
2019Q2,-0.0012936380716191773,-0.0013317965924410148,-0.01
2019Q3,-0.0020774197634378885,-0.0015828439386325836,0.0
2019Q4,0.001975935041231798,0.002604659893256965,0.030612244897959183
2020Q1,-0.00047420938419333314,-0.005657912021939402,0.020202020202020204
2020Q2,0.0008822079688451457,0.004146659968106541,-0.030303030303030304
2020Q3,-0.003921339117808652,-0.012958096434612737,-0.04081632653061224
2020Q4,-0.0005862032411777597,-0.0013114527858119694,0.02127659574468085
2021Q1,-0.0012990966797409844,0.0005248600620192923,0.0
2021Q2,0.01723876248493799,0.014259063891825031,-0.010101010101010102
2021Q3,0.001082217704453836,-0.011140077130302609,0.020618556701030927
2021Q4,0.0017470007465702699,0.003083549602599314,0.0
2022Q1,0.0026964089243727905,-0.00023469493021191493,-0.031914893617021274
2022Q2,-0.0009469031813030978,-0.0002773328833981643,-0.020202020202020204
2022Q3,0.007878060173093714,0.007612207639772966,0.01020408163265306
2022Q4,0.004931764597557202,0.007910263296272466,0.0
2023Q1,0.003055289242824408,0.001705220761970009,-0.021739130434782608
2023Q2,-0.0030741118216949057,0.00391755796070259,-0.020202020202020204
2023Q3,-0.0001293809660049994,-0.0015398390093762262,-0.020202020202020204
2023Q4,0.0015352281893798924,-0.002716255279946013,-0.010416666666666666
2024Q1,-0.004901700869712302,-0.0025140631453299637,-0.021505376344086023
2024Q2,0.002320436120225376,0.0028997097711624606,0.0
2024Q3,-0.0007703073721451115,-0.0013263308330408597,-0.010101010101010102
2024Q4,-0.0007529854778048049,-0.0030285311106419775,-0.02040816326530612
2025Q1,-0.0005612494820024916,0.0010609995889954676,-0.04081632653061224
2025Q2,0.0003465445368417572,-0.00021018022515406737,0.030303030303030304
2025Q3,-0.00012173129654212804,0.002019840217147801,0.030303030303030304
2025Q4,0.0008693486280986256,0.0014401693810852012,-0.020202020202020204
2026Q1,-0.0010576691260740562,-0.001841515981293661,0.0
