comparison,n,rmse_base,rmse_alt,rmse_delta,dir_acc_delta,dm_stat,p_value,n_quarters,quarters_better
all_quarters,4525,0.1899569571999267,0.19066014564896125,-0.000703188449034553,-0.005303867403314917,-0.9459944299233841,0.34888947012747173,49,15
2018Q1+ (SI data exists),3195,0.20350885687198028,0.20443804597523849,-0.0009291891032582045,-0.007511737089201878,-0.9639647910244614,0.34229219644827824,33,15
