model,n,median_ae,mae,rmse,r2,dir_acc,n_guarded
ensemble (86 feats),4212,0.04131359930402756,0.09016650240256596,0.18695570924776367,0.45002852016458716,0.8292972459639126,
timesfm raw,4212,0.039463289886885744,0.08496286532261292,0.20805301346478525,0.31890024289421937,0.8190883190883191,
"timesfm guarded (k=2.0, floor=0.5)",4212,0.039463289886885744,0.08497189812413346,0.2040960859642971,0.34456133601374817,0.8179012345679012,13.0
"timesfm guarded (k=2.0, floor=1.0)",4212,0.039463289886885744,0.08497189812413346,0.2040960859642971,0.34456133601374817,0.8179012345679012,13.0
"timesfm guarded (k=3.0, floor=0.5)",4212,0.039463289886885744,0.08230936885622696,0.18743071339711392,0.44723031084899034,0.8193257359924027,4.0
"timesfm guarded (k=3.0, floor=1.0)",4212,0.039463289886885744,0.08230936885622696,0.18743071339711392,0.44723031084899034,0.8193257359924027,4.0
"timesfm guarded (k=5.0, floor=0.5)",4212,0.039463289886885744,0.08302574032098364,0.19325979173405813,0.4123134942897896,0.8190883190883191,3.0
"timesfm guarded (k=5.0, floor=1.0)",4212,0.039463289886885744,0.08302574032098364,0.19325979173405813,0.4123134942897896,0.8190883190883191,3.0
blend 50/50 (guarded k=3 + ensemble),4212,0.03624770748960784,0.07856453729103284,0.16576621563546845,0.5676307992341025,0.8418803418803419,
