comparison,n,rmse_base,rmse_alt,rmse_delta,dir_acc_delta,dm_stat,p_value,n_quarters,quarters_better,n_cols
activity_demand,4529,0.19181399118462478,0.190295022807196,0.0015189683774287643,-0.0026495915213071318,0.992976828352931,0.32570073658146403,49,23,8
risk_credit,4529,0.19181399118462478,0.19085764377654257,0.0009563474080822032,-0.0026495915213071318,1.074286963899355,0.2880649431220284,49,22,2
commodities_fx,4529,0.19181399118462478,0.1914308739986795,0.00038311718594527533,-0.00022079929344226098,0.3907815532471854,0.6976878262309979,49,25,6
inflation,4529,0.19181399118462478,0.19209318625738442,-0.0002791950727596415,-0.0017663943475380878,-0.18080631766442495,0.8572808699607025,49,26,4
rates_curve,4529,0.19181399118462478,0.19286636139652677,-0.0010523702119019929,-0.0026495915213071318,-1.6483496079189022,0.10581208547008894,49,22,5
