config,n_guidance_feats,n,mae,rmse,r2,dir_acc
with_guidance,8,4529,0.09457316243211028,0.19048035457562063,0.42564181100776954,0.8233605652461912
without_guidance,0,4529,0.09474851469583229,0.1911823555092401,0.4214005025817946,0.8275557518215941
