feature,gain,gain_pct
f_m_gross,846.9814430233091,38.008236888262765
f_asset_turnover,201.9449785389006,9.062267710734769
sec_Health Care,182.2760837879032,8.17962734454478
f_m_sga,179.3874865792459,8.050001733634673
f_m_rd,91.63248614780605,4.112001825842153
f_m_net,82.76552392076701,3.714097475539518
bea_sector_va,82.16855696449056,3.6873086224005056
f_log_revenue,76.64555052760988,3.439464069585924
f_m_oper,66.9670444149524,3.0051417404670073
sec_Materials,48.93181483447552,2.19581199201099
sec_Technology,48.588574594818056,2.18040910869407
sec_Industrials,34.64186407625675,1.5545513858739066
f_m_ebitda,34.599885175935924,1.5526675854661818
f_hist_mean,30.009990129619837,1.34669634530544
f_hist_std,29.56748276669532,1.3268388563210294
mkt_market_cap,20.473870402696775,0.9187635959385183
sec_Consumer Discretionary,16.748720368370414,0.7515977316621979
mkt_ev_to_rev,9.79745455738157,0.43966013280021793
f_m_gross_chg4,9.546725297812372,0.42840867366729035
sec_Energy,9.364063806831837,0.42021175120017035
f_acct_defrev_to_rev,8.339755029417574,0.37424596177304986
mkt_ps_ratio,8.161982329562306,0.36626842348809463
f_qoq_mean_4,7.5866643521003425,0.3404510668581823
f_acct_gw_jump,6.603379193111323,0.2963262096261694
f_lag_yoy_2,5.612038815394044,0.25183987498029775
f_acct_recv_gap,5.036977445706725,0.2260340336074981
f_roll_mean_8,4.814461967209354,0.21604866605582618
sec_Communication Services,4.661156219430268,0.20916908064587827
f_obs_count,4.320269109215587,0.19387179385887798
f_roll_mean_4,4.093566373921931,0.18369852343219487
sec_Consumer Staples,4.011528743430972,0.1800170901267354
f_m_oper_chg4,3.92756267497316,0.1762491182935759
f_lag_yoy_1,3.6400410206988454,0.1633466028533851
f_roll_std_8,3.0304778493009508,0.13599249538421557
f_roll_std_4,2.7082030628807843,0.12153043541080139
mac_ism_pmi_proxy,2.426498736254871,0.10888897216855228
f_guid_days_since_last,2.3478742074221373,0.10536070157689029
f_m_net_chg4,2.295932289212942,0.10302981139271003
f_accel_1,2.144888125360012,0.09625171441360804
f_qoq_1,2.1098101949319243,0.0946775945787015
f_yoy_vs_sector,2.084779465571046,0.09355434223489768
f_acct_defrev_chg4,2.0796990506350994,0.0933263589467552
f_m_ebitda_chg4,1.6097369478084147,0.07223684030395873
mac_cpi,1.572908215224743,0.07058415333677076
mkt_ret_126,1.5536163998767734,0.06971843438414187
f_lag_yoy_3,1.5240048188716173,0.06838961662225262
f_lag_yoy_5,1.5131630676332861,0.06790309374416074
mac_usd_index,1.4828733876347542,0.06654384633427128
f_sector_yoy_median,1.4788901060819626,0.06636509683497796
mac_ism_pmi_proxy_yoy,1.3512796182185411,0.060638584534039364
f_m_capex,1.320754206739366,0.05926875868936587
bea_sector_va_yoy,1.262089354917407,0.05663617729879284
mac_yield_curve_10y2y,1.2269805129617453,0.055060670311107104
bea_sector_va_qoq,1.2004756056703627,0.053871264329039346
f_accel_seasonal,1.1544961757026613,0.05180794041492663
f_m_cfo,1.0457991533912718,0.046930168644257066
f_yoy_z,1.0383689105510712,0.046596736982520065
mac_ust_2y,1.0046032443642616,0.04508150491965781
mac_wti_oil,0.9584283120930195,0.043009407852453746
mkt_ret_63,0.9417640389874578,0.04226159968618975
f_lag_yoy_4,0.8998524053022265,0.04038081786433994
mac_wti_oil_yoy,0.8640501089394093,0.038774192155464404
mkt_drawdown_63,0.7916989186778665,0.035527437222094733
mac_consumer_sentiment,0.6756556480540894,0.030320003038633032
mac_cpi_yoy,0.5842698875349015,0.026219073009246596
mac_ust_3m,0.5205844766460359,0.023361194358741455
f_acct_ma_recent,0.5016613509505987,0.022512020330168605
mac_vix,0.4762940024957061,0.021373662226525796
f_sector_yoy_loo,0.4630942288786173,0.02078132324833174
mac_ust_10y,0.4370262958109379,0.019611526455987533
mac_fed_funds,0.4338584132492542,0.019469367933117324
mac_retail_sales_yoy,0.4304439015686512,0.019316141944657826
f_sector_yoy_std,0.41649789246730506,0.018690315697889343
mac_wti_oil_qoq,0.411675401031971,0.018473906709976305
f_guid_latest_lower,0.24550510104745626,0.011017025360769098
mac_cpi_qoq,0.24093130230903625,0.010811776441372973
mac_retail_sales,0.20516079850494862,0.009206577421492144
mac_ism_pmi_proxy_qoq,0.20122510194778442,0.009029963295766958
mac_baa_spread,0.17503799963742495,0.007854818791447607
mac_usd_index_qoq,0.17253960110247135,0.007742703320512558
mac_usd_index_yoy,0.15561569947749376,0.00698324434141176
sec_Real Estate,0.1475730026140809,0.006622328845419399
mac_core_pce,0.1235518017783761,0.005544379028189605
mac_retail_sales_qoq,0.1230141008272767,0.005520249733158677
f_guid_latest_raise,0.1045909970998764,0.00469351415771491
f_guid_lower_90d,0.09745460003614426,0.004373268805988155
mac_unemployment,0.08321885467739776,0.0037344406636089676
f_guid_net_dir_180d,0.07761970069259405,0.0034831789945591264
f_guid_count_180d,0.01990400068461895,0.000893190729592315
f_guid_net_dir_365d,0.0185186006128788,0.0008310209919369567
f_guid_raise_90d,0.0,0.0
f_is_q3,0.0,0.0
f_is_q2,0.0,0.0
sec_Financials,0.0,0.0
f_is_q1,0.0,0.0
f_is_q4,0.0,0.0
