feature,gain,gain_pct
f_m_ebitda,853.842262040358,66.30830837407451
f_m_oper,72.64950363337994,5.641868415641752
f_asset_turnover,40.581661673029885,3.1515204343685173
f_m_net,35.04674811847508,2.7216860596653385
f_hist_std,25.459838380571455,1.977178794662702
sec_Real Estate,23.319239478558302,1.8109425957648961
bea_sector_va,20.241140784695745,1.5719013507101658
f_m_oper_chg4,13.864018072839826,1.076662079809483
f_m_ebitda_chg4,13.336035410873592,1.035659615159675
f_m_gross,11.871877310797572,0.9219549519865949
mkt_market_cap,11.51222493313253,0.8940248039652318
f_acct_defrev_to_rev,11.01953642303124,0.855763238436615
f_hist_mean,10.232844612561166,0.7946697490614743
f_log_revenue,9.710928020067513,0.7541383676820649
mac_cpi_yoy,7.801752095110714,0.6058741840026551
f_m_net_chg4,6.484835521318018,0.5036041112267912
f_acct_defrev_chg4,6.385895203333348,0.49592053147532833
mkt_ps_ratio,6.257039662450552,0.4859137734119043
mkt_ev_to_rev,6.097922737710178,0.4735569546149443
f_m_sga,5.557203335221857,0.431565370831819
mkt_ret_126,5.044825443066657,0.39177475283652535
f_qoq_mean_4,4.791497848462313,0.37210165276936874
f_roll_std_4,3.8981835544109344,0.3027279963947353
f_roll_std_8,3.592521106824279,0.278990637945743
f_accel_seasonal,3.4913057824596763,0.27113038408092227
f_roll_mean_8,3.4314625947736204,0.26648303793797967
f_qoq_1,3.3269526376388967,0.2583669270660596
f_acct_recv_gap,3.2625682773068547,0.2533669192084458
bea_sector_va_qoq,3.244976789690554,0.25200078656606173
f_sector_yoy_median,3.116502156481147,0.2420236093099975
mac_ust_3m,2.8132551135495305,0.21847382812654348
f_sector_yoy_std,2.7147525809705257,0.21082424623507318
f_lag_yoy_1,2.6063299905508757,0.20240428521899229
f_acct_gw_jump,2.4417337384074926,0.1896219487974385
mac_ust_10y,2.1578111918643117,0.16757288352213837
f_obs_count,2.0057611973024905,0.15576487357005536
f_accel_1,1.9861155739054084,0.15423921934523196
f_guid_days_since_last,1.8930473746731877,0.14701166089695009
mac_cpi,1.885589636862278,0.1464325024264416
f_lag_yoy_2,1.873919510282576,0.1455262151806426
sec_Communication Services,1.8275371892377734,0.14192422288806766
mac_wti_oil_yoy,1.7398613775148988,0.13511543042237817
f_yoy_z,1.7192360870540142,0.13351369649447786
f_m_gross_chg4,1.6769716944545507,0.13023149730814182
f_yoy_vs_sector,1.6098248111084104,0.1250169554129745
bea_sector_va_yoy,1.5498289037495852,0.12035774925371864
sec_Financials,1.547740082256496,0.12019553402280331
mac_fed_funds,1.5204003108665347,0.11807236201223754
f_sector_yoy_loo,1.485847294330597,0.11538901852178478
mkt_drawdown_63,1.4841515570878983,0.11525732971577327
f_lag_yoy_5,1.4789492469280958,0.11485332489934563
mac_ism_pmi_proxy,1.4723751032724977,0.11434278523155128
mac_consumer_sentiment,1.462961514480412,0.11361173785162802
f_roll_mean_4,1.2078396696597338,0.09379929858572914
f_lag_yoy_3,1.132565806619823,0.08795362574326408
mac_retail_sales_qoq,0.9583589415997267,0.07442494130097616
mac_ism_pmi_proxy_yoy,0.9337268033996224,0.07251204065375083
f_lag_yoy_4,0.9200330441817641,0.0714486006609256
mac_usd_index_yoy,0.887646708637476,0.06893351887140954
mac_retail_sales_yoy,0.850093892775476,0.06601721476561133
mac_vix,0.8294836981222034,0.06441665315900592
mac_yield_curve_10y2y,0.8005758104845881,0.062171703227226274
mac_baa_spread,0.7268447019159794,0.05644583874255335
mac_wti_oil_qoq,0.7176070995628834,0.05572845824653239
mkt_ret_63,0.6994212572462857,0.05431616877108563
mac_cpi_qoq,0.6182820843532681,0.048015003395936694
f_m_cfo,0.594086830271408,0.046136030615864534
mac_retail_sales,0.5422107055783272,0.04210739649182752
mac_ism_pmi_proxy_qoq,0.5237597012892365,0.04067451487351924
f_is_q1,0.5068083223886788,0.039358092263073616
mac_wti_oil,0.4557631919160485,0.035393992097446
f_m_rd,0.42827759869396687,0.03325949574813316
f_m_capex,0.42094468232244253,0.032690030752476444
sec_Consumer Discretionary,0.35342249274253845,0.02744634305065433
mac_unemployment,0.2761910008266568,0.021448643229717065
mac_usd_index,0.19426810089498758,0.015086614605616456
mac_usd_index_qoq,0.15772590087726712,0.01224879364597931
sec_Energy,0.1512703001499176,0.011747459871815812
f_is_q2,0.09384889900684357,0.007288186603744173
mac_ust_2y,0.09314954793080688,0.007233875885156915
mac_core_pce,0.09138880111277103,0.007097138517882545
f_guid_net_dir_365d,0.058147599920630455,0.004515668945146723
sec_Materials,0.01902800053358078,0.0014776904156837017
f_guid_count_180d,0.015107099898159504,0.0011731982395569945
sec_Industrials,0.0,0.0
sec_Health Care,0.0,0.0
sec_Consumer Staples,0.0,0.0
f_guid_net_dir_180d,0.0,0.0
f_guid_latest_lower,0.0,0.0
f_guid_latest_raise,0.0,0.0
f_acct_ma_recent,0.0,0.0
f_guid_lower_90d,0.0,0.0
f_guid_raise_90d,0.0,0.0
f_is_q3,0.0,0.0
f_is_q4,0.0,0.0
sec_Technology,0.0,0.0
