target_quarter,n_cal,Q,alpha_used
2014Q1,0,0.0,0.2
2014Q2,85,0.0,0.2
2014Q3,171,0.011742902152689274,0.2
2014Q4,256,0.009562035255408788,0.2
2015Q1,338,0.014051975614705184,0.2
2015Q2,420,0.013843006576529662,0.2
2015Q3,504,0.02575355770007854,0.2
2015Q4,588,0.022823827590232177,0.2
2016Q1,669,0.019314861750432004,0.2
2016Q2,748,0.01967813016716825,0.2
2016Q3,831,0.01875096747799124,0.2
2016Q4,912,0.01880701917382836,0.2
2017Q1,994,0.017695056831909712,0.2
2017Q2,1075,0.02016642154193345,0.2
2017Q3,1161,0.019221003492126066,0.2
2017Q4,1246,0.019691460094247087,0.2
2018Q1,1330,0.02034151418393254,0.2
2018Q2,1417,0.019811578048132137,0.2
2018Q3,1511,0.018440147526791285,0.2
2018Q4,1607,0.01883990057653931,0.2
2019Q1,1701,0.019527669171516885,0.2
2019Q2,1798,0.019309179777625852,0.2
2019Q3,1898,0.017869464684922693,0.2
2019Q4,1996,0.01757750339028832,0.2
2020Q1,2093,0.017957637613977128,0.2
2020Q2,2192,0.01883092911537319,0.2
2020Q3,2291,0.02389950820894534,0.2
2020Q4,2389,0.022627436179503857,0.2
2021Q1,2483,0.021830557749307863,0.2
2021Q2,2578,0.021422717100481842,0.2
2021Q3,2677,0.026043479015645184,0.2
2021Q4,2774,0.02576494143561982,0.2
2022Q1,2871,0.025372690591389406,0.2
2022Q2,2965,0.025349622983437795,0.2
2022Q3,3064,0.024877231831909458,0.2
2022Q4,3162,0.024970907218075246,0.2
2023Q1,3259,0.02486162901858484,0.2
2023Q2,3351,0.02397079214927937,0.2
2023Q3,3450,0.024314875317269627,0.2
2023Q4,3549,0.02380255326949357,0.2
2024Q1,3645,0.024071751001644454,0.2
2024Q2,3738,0.024208530051596358,0.2
2024Q3,3837,0.02320433676847449,0.2
2024Q4,3936,0.02181935337959327,0.2
2025Q1,4034,0.021241985146145285,0.2
2025Q2,4132,0.021159394389837067,0.2
2025Q3,4231,0.02100679933880282,0.2
2025Q4,4330,0.020791252823635288,0.2
2026Q1,4429,0.020401611596301165,0.2
