config,n,mae,rmse,r2,dir_acc
no_macro,4039,0.12101616184617257,0.23656209788352,0.04202395831355876,0.751671205743996
with_macro,4039,0.11935970249936274,0.2359056487792179,0.047333261770306057,0.763555335479079
macro_only,4039,0.1369067231884601,0.24619302565252474,-0.037566194638916306,0.6974498638276801
baseline:company_hist,4039,0.14996257096825447,0.2871402314194311,-0.41140747776889386,0.6840802178757118
baseline:expanding_mean,4039,0.1321710616141792,0.24291932841969002,-0.010156041265088067,0.7390443179004704
baseline:persistence,4039,0.1556219104485244,0.3247363903731362,-0.8052038031121183,0.7125526120326814
baseline:sector_median,4039,0.13711153886786023,0.25564107253378165,-0.11873077143783095,0.713295370141124
