,n,median_ae,mean_ae,rmse,mpe_pct,mdpe_pct,r2,chg_dir_acc
bl: persistence,2540.0,0.015709042006105428,0.039847375201153466,0.0852094138112893,-1.9514504740603547,0.49616171471324616,0.8605947762867908,0.0
xgboost,2540.0,0.03183346000543519,0.05535592563163624,0.09011245467992257,-7.534818287306536,0.31887646424745736,0.8440901575582513,0.5586614173228347
ensemble,2540.0,0.031678316590535355,0.05569802881034139,0.09036123064460637,-8.941654312347525,-0.013862231894690921,0.8432281199797957,0.5641732283464567
catboost,2540.0,0.03433849283723825,0.05884332588263213,0.0939028976441388,-10.123681605803345,0.14427669255958345,0.8306980812262829,0.5425196850393701
lightgbm,2540.0,0.034258678036038825,0.058415463415132325,0.09407146929101301,-9.126712200469587,-0.07669477510186658,0.830089684241512,0.5602362204724409
hist_gbm,2540.0,0.03473964054058676,0.060813488523894635,0.09682803190730103,-8.981405155810622,-0.36719932602041494,0.8199860748449799,0.5618110236220473
random_forest,2540.0,0.06682413813480242,0.091004986587215,0.12485508808681488,-20.52274107571251,-2.1515780780431744,0.7006933382141255,0.5574803149606299
bl: company_hist,2540.0,0.028550298729051266,0.05915889816492088,0.12639033563174198,0.6862260151141623,0.40449141540045186,0.6932873935273962,0.49094488188976376
extra_trees,2540.0,0.08129064938855976,0.10245167162950766,0.13438546424980985,-23.815171765724696,-0.5171361766066276,0.6532563756373212,0.525984251968504
elasticnet,2540.0,0.06235320262271926,0.09614543770634557,0.14715259210323467,-16.059007073023825,2.648806779015973,0.5842428510145723,0.5326771653543307
ridge,2540.0,0.07374206476981315,0.10455591811767093,0.16104390239558286,-14.645861637705028,1.1854048516234996,0.5020422866292711,0.5350393700787401
bl: sector_median,2540.0,0.09747465113652226,0.12338934418462774,0.16734673602038497,-28.308422940321936,0.28855565859690147,0.46230204497361405,0.465748031496063
bl: expanding_mean,2540.0,0.16905190142774024,0.19250975994897246,0.2283116229886732,-43.115256957718955,-1.7842938056972488,-0.0008291246065488256,0.4799212598425197
