comparison,n,rmse_lag1_only,rmse_with_ladder,rmse_delta,dir_acc_delta,dm_stat,p_value,n_quarters,quarters_better
quarterly,4525,0.18894380585819712,0.188010951570649,0.0009328542875481072,0.0015469613259668509,1.2454383542990046,0.2190161911172466,49,25
annual,4039,0.2366759705744277,0.23484111900286597,0.0018348515715617408,0.0002475860361475613,2.0418542157046105,0.04692435930934902,47,30
