method,coverage,target,mean_width,median_width,winkler,worst_quarter_cov,quarterly_cov_std,n
raw,0.7122651933701657,0.8,0.2158862415354647,0.1368301923252353,0.4920088111405441,0.41414141414141414,0.08666378620969356,4525
cqr_expanding,0.7973480662983425,0.8,0.24890570195170655,0.170504846946752,0.4861766785864636,0.46464646464646464,0.08763520432512113,4525
cqr_rolling,0.7971270718232044,0.8,0.2534964845061157,0.17509095049448475,0.48675893440073315,0.46464646464646464,0.08551159245199606,4525
cqr_sector,0.7962430939226519,0.8,0.25611703383405376,0.17458877635828546,0.4868210653709534,0.4444444444444444,0.08922706490480387,4525
aci,0.7991160220994475,0.8,0.2508340543978494,0.17224663132548623,0.4863877891045062,0.46464646464646464,0.08894853164643123,4525
