feature,gain,gain_pct
f_lag_yoy_1,266.7330311983824,8.048449684557824
f_qoq_mean_4,264.86724016070366,7.99215097561582
f_hist_std,139.6123402789235,4.212687461428646
f_qoq_1,134.75573751330376,4.0661434701525785
mkt_ev_to_rev,116.8343491256237,3.52538032556707
mkt_ps_ratio,115.73062462359667,3.492076347127402
f_log_revenue,114.064586751163,3.441805025541898
f_m_sga,109.79121079295874,3.3128594231608206
f_roll_std_4,96.87569799274206,2.9231444543930647
f_acct_defrev_chg4,95.38833644241095,2.8782645437693124
f_guid_days_since_last,94.92156843096018,2.864180203192354
f_asset_turnover,90.97489808499813,2.7450926737690216
f_m_ebitda,83.822439186275,2.529273113257125
mkt_ret_126,82.24801991134882,2.4817663074456733
f_hist_mean,77.30015639588237,2.332468598154194
bea_sector_va_qoq,73.04774386435747,2.204155549919436
mkt_market_cap,67.25514194741845,2.0293685546166973
f_lag_yoy_3,66.13156326673925,1.9954654926769757
bea_sector_va,65.87699671834707,1.9877841565975978
f_m_net,64.76025384664536,1.9540873595676302
f_lag_yoy_4,59.77666326612234,1.8037116154928594
f_yoy_vs_sector,58.42567881941795,1.762946771727284
f_m_net_chg4,53.0887152813375,1.601908289498163
f_m_oper,52.27022749185562,1.5772110940984287
f_roll_std_8,50.40738103352487,1.5210012354147446
f_roll_mean_8,46.53172917664051,1.4040566304483013
f_m_ebitda_chg4,46.00001750141382,1.3880126682681124
f_acct_recv_gap,43.13445504754782,1.3015466796941466
f_acct_defrev_to_rev,42.42028298601508,1.2799971255293006
mac_ism_pmi_proxy,38.80658100545406,1.1709566424857865
f_lag_yoy_2,38.101428888738155,1.149679257732016
f_m_rd,35.717201456427574,1.0777371572756906
f_accel_seasonal,34.845433577895164,1.051432279040481
f_guid_latest_raise,34.240689635276794,1.0331846283001982
f_m_oper_chg4,32.36734016239643,0.9766578497968765
f_roll_mean_4,32.28678883612156,0.9742272798234655
f_lag_yoy_5,26.151293326169252,0.7890937525665643
f_sector_yoy_median,23.2649649605155,0.7020011696955715
f_yoy_z,22.620463099330664,0.6825538564848876
mkt_ret_63,19.419181928038597,0.585957831922397
f_acct_gw_jump,19.386917866766453,0.5849842904281108
f_accel_1,18.921229124069214,0.5709325158975088
bea_sector_va_yoy,18.761790797114372,0.566121595605707
mac_usd_index_yoy,17.826770588755608,0.5379081303771607
f_m_gross,17.237398982048035,0.5201243272209446
mac_retail_sales_yoy,16.230079740285873,0.48972929816442
mac_wti_oil,15.969961881637573,0.48188045586701184
f_sector_yoy_std,13.988761082291603,0.4220993523535056
f_obs_count,13.8369000852108,0.4175170717542101
f_m_gross_chg4,13.38949004560709,0.40401684204535837
mac_wti_oil_yoy,12.864739276468754,0.3881829194772841
mac_retail_sales_qoq,8.73848669230938,0.2636766438196451
f_sector_yoy_loo,8.418405342847109,0.2540184525392542
mac_ust_2y,8.375072039663792,0.25271090578072314
sec_Communication Services,8.311589896678925,0.25079538436447374
sec_Real Estate,7.061968952417374,0.21308910085893198
mkt_drawdown_63,6.116260871291161,0.18455313786617078
mac_vix,5.857773989439011,0.17675350895122788
mac_wti_oil_qoq,5.819647699594498,0.1756030795346169
mac_ism_pmi_proxy_yoy,5.1193739622831345,0.1544728958642791
mac_consumer_sentiment,5.02976306527853,0.15176896080048402
mac_usd_index,4.953666970133781,0.14947282375959267
f_m_capex,4.431769013404846,0.13372498245799444
sec_Energy,4.421286016702652,0.1334086666604274
mac_fed_funds,4.1305699199438095,0.12463654771159591
mac_cpi_qoq,4.027856931090355,0.12153726780980251
mac_unemployment,3.4707443937659264,0.10472685552173042
mac_ust_3m,3.4071331657469273,0.10280743907081823
mac_ust_10y,2.891343966126442,0.08724392448721835
mac_core_pce,2.759890988469124,0.0832774390774179
mac_retail_sales,2.6233959197998047,0.07915881272117102
mac_cpi_yoy,2.611292965710163,0.07879361604272686
mac_yield_curve_10y2y,2.510460987687111,0.0757510940945944
mac_baa_spread,2.2643149867653847,0.06832384110469306
f_guid_net_dir_365d,2.244577005505562,0.06772826376531854
sec_Industrials,2.1038899421691895,0.06348314742017104
mac_ism_pmi_proxy_qoq,1.9049878418445587,0.05748144024718491
mac_cpi,1.7544269934296608,0.052938390563809244
mac_usd_index_qoq,0.987374497577548,0.02979321281606854
sec_Technology,0.8783949911594391,0.02650484590435395
f_guid_latest_lower,0.437171995639801,0.01319130515855664
f_m_cfo,0.4134009927511215,0.012474034710867984
f_is_q1,0.355037197470665,0.010712955223996257
sec_Health Care,0.20284199714660645,0.0061205903168980455
sec_Financials,0.1753849983215332,0.005292097975549415
f_guid_net_dir_180d,0.0,0.0
f_guid_raise_90d,0.0,0.0
f_guid_lower_90d,0.0,0.0
f_is_q3,0.0,0.0
f_guid_count_180d,0.0,0.0
sec_Consumer Discretionary,0.0,0.0
sec_Consumer Staples,0.0,0.0
f_acct_ma_recent,0.0,0.0
f_is_q4,0.0,0.0
sec_Materials,0.0,0.0
f_is_q2,0.0,0.0
